Run	AGE	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	env_broad_scale	env_local_scale	env_medium	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Group	HOST	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	litter_id	mouse_id	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study	total_sequences	study_name	uuid
SRR28674691	1	WGS	302	405507178	PRJNA1099939	SAMN40961730	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	178327731	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-07-01	public	fastq,run.zq,sra	gs,s3,ncbi	ncbi.public,gs.us-east1,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243018	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG018AM5_1MTH_07012019	PAIRED	RANDOM	METAGENOMIC	hSCATG018	hSCATG018AM5	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:56:00Z	1	hSCATG018AM5_1MTH_07012019	SRP501636	1693973	SampsonTR_2025	a3d9987a-4565-48e2-9f05-f78c4b4c8d03
SRR28674701	1	WGS	302	373268980	PRJNA1099939	SAMN40961794	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	166829315	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-07-15	public	fastq,run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243008	USA	North America	USA: Alabama	TG	Mus musculus	Illumina HiSeq X	hSCATG027AM2_1MTH_07152019	PAIRED	RANDOM	METAGENOMIC	hSCATG027	hSCATG027AM2	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:56:00Z	1	hSCATG027AM2_1MTH_07152019	SRP501636	1479218	SampsonTR_2025	9fa1c03e-a9e8-4d2d-9559-dde7ee247b5d
SRR28674702	12	WGS	302	461195978	PRJNA1099939	SAMN40961793	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	206163813	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2020-06-14	public	fastq,run.zq,sra	ncbi,s3,gs	gs.us-east1,ncbi.public,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243007	USA	North America	USA: Alabama	TG	Mus musculus	Illumina HiSeq X	hSCATG027AM2_12MTH_06142020	PAIRED	RANDOM	METAGENOMIC	hSCATG027	hSCATG027AM2	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG027AM2_12MTH_06142020	SRP501636	1833932	SampsonTR_2025	bf33d4b7-a289-4c51-adfc-1a34c23bf1bd
SRR28674706	1	WGS	302	413308140	PRJNA1099939	SAMN40961790	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	180601132	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-07-15	public	run.zq,sra,fastq	ncbi,s3,gs	s3.us-east-1,gs.us-east1,ncbi.public	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243003	USA	North America	USA: Alabama	TG	Mus musculus	Illumina HiSeq X	hSCATG026AM5_1MTH_07152019	PAIRED	RANDOM	METAGENOMIC	hSCATG026	hSCATG026AM5	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:56:00Z	1	hSCATG026AM5_1MTH_07152019	SRP501636	1672307	SampsonTR_2025	e4c5f056-2e1d-4ae8-92e8-3c93628ce82b
SRR28674707	12	WGS	302	417941726	PRJNA1099939	SAMN40961789	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	186652188	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2020-06-14	public	sra,run.zq,fastq	s3,ncbi,gs	ncbi.public,gs.us-east1,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243002	USA	North America	USA: Alabama	TG	Mus musculus	Illumina HiSeq X	hSCATG026AM5_12MTH_06142020	PAIRED	RANDOM	METAGENOMIC	hSCATG026	hSCATG026AM5	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG026AM5_12MTH_06142020	SRP501636	1761675	SampsonTR_2025	e2092a9c-5571-4828-b38d-7f7f24c9f2a0
SRR28674708	6	WGS	302	327451352	PRJNA1099939	SAMN40961788	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	143198735	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-12-16	public	run.zq,sra,fastq	gs,ncbi,s3	gs.us-east1,s3.us-east-1,ncbi.public	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243001	USA	North America	USA: Alabama	TG	Mus musculus	Illumina HiSeq X	hSCATG026AM4_6MTH_12162019	PAIRED	RANDOM	METAGENOMIC	hSCATG026	hSCATG026AM4	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG026AM4_6MTH_12162019	SRP501636	1326165	SampsonTR_2025	56843918-89ff-4479-a7ae-9e54f1e51f92
SRR28674718	3	WGS	302	499333142	PRJNA1099939	SAMN40961779	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	219325015	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-09-16	public	fastq,sra,run.zq	s3,gs,ncbi	gs.us-east1,s3.us-east-1,ncbi.public	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24242991	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG026AM2_3MTH_09162019	PAIRED	RANDOM	METAGENOMIC	hSCATG026	hSCATG026AM2	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:58:00Z	1	hSCATG026AM2_3MTH_09162019	SRP501636	2095439	SampsonTR_2025	09016182-db02-48d9-a9eb-a0e838ae94e6
SRR28674719	1	WGS	302	403067320	PRJNA1099939	SAMN40961778	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	174550160	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-07-15	public	run.zq,fastq,sra	gs,s3,ncbi	s3.us-east-1,gs.us-east1,ncbi.public	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24242990	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG026AM2_1MTH_07152019	PAIRED	RANDOM	METAGENOMIC	hSCATG026	hSCATG026AM2	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG026AM2_1MTH_07152019	SRP501636	1569683	SampsonTR_2025	d9a6a44d-cdf2-4600-8e90-824a1f1aa838
SRR28674720	6	WGS	302	416686312	PRJNA1099939	SAMN40961884	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	186648653	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2020-01-08	public	fastq,sra,run.zq	gs,ncbi,s3	ncbi.public,gs.us-east1,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24242989	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG040AM6_6MTH_01082020	PAIRED	RANDOM	METAGENOMIC	hSCATG040	hSCATG040AM6	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG040AM6_6MTH_01082020	SRP501636	1545315	SampsonTR_2025	87a6eadc-b50e-4d72-80b2-1d914b49562e
SRR28674721	3	WGS	302	511195702	PRJNA1099939	SAMN40961883	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	224252296	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-10-08	public	run.zq,fastq,sra	s3,ncbi,gs	s3.us-east-1,ncbi.public,gs.us-east1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24242988	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG040AM6_3MTH_10082019	PAIRED	RANDOM	METAGENOMIC	hSCATG040	hSCATG040AM6	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG040AM6_3MTH_10082019	SRP501636	2008552	SampsonTR_2025	260c489d-320f-4b4e-b553-9db5260c5359
SRR28674722	1	WGS	302	520301304	PRJNA1099939	SAMN40961882	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	217596883	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-08-08	public	sra,run.zq,fastq	gs,ncbi,s3	s3.us-east-1,gs.us-east1,ncbi.public	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24242987	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG040AM6_1MTH_08082019	PAIRED	RANDOM	METAGENOMIC	hSCATG040	hSCATG040AM6	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG040AM6_1MTH_08082019	SRP501636	1651775	SampsonTR_2025	9f078173-4bbb-4630-a1b7-7ac885b6429b
SRR28674723	12	WGS	302	408742202	PRJNA1099939	SAMN40961881	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	184461034	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2020-07-08	public	sra,run.zq,fastq	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.us-east1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24242986	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG040AM6_12MTH_07082020	PAIRED	RANDOM	METAGENOMIC	hSCATG040	hSCATG040AM6	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG040AM6_12MTH_07082020	SRP501636	1671779	SampsonTR_2025	afd35578-8cf5-4ea0-a890-df5303e4f8d4
SRR28674724	12	WGS	302	368518822	PRJNA1099939	SAMN40961737	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	169180183	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2020-06-04	public	run.zq,sra,fastq	gs,ncbi,s3	s3.us-east-1,gs.us-east1,ncbi.public	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24242985	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG021AM1_12MTH_06042020	PAIRED	RANDOM	METAGENOMIC	hSCATG021	hSCATG021AM1	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG021AM1_12MTH_06042020	SRP501636	1493359	SampsonTR_2025	569e0480-7133-4d78-ada0-ac4f74d575dc
SRR28674725	6	WGS	302	413525278	PRJNA1099939	SAMN40961880	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	187626226	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2020-01-08	public	run.zq,sra,fastq	gs,s3,ncbi	gs.us-east1,ncbi.public,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24242984	USA	North America	USA: Alabama	TG	Mus musculus	Illumina HiSeq X	hSCATG040AM5_6MTH_01082020	PAIRED	RANDOM	METAGENOMIC	hSCATG040	hSCATG040AM5	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:56:00Z	1	hSCATG040AM5_6MTH_01082020	SRP501636	1535455	SampsonTR_2025	f38e6c73-dd4e-4e42-be4f-1a3e5831d63a
SRR28674726	3	WGS	302	332531596	PRJNA1099939	SAMN40961879	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	156077175	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-10-08	public	fastq,sra,run.zq	gs,ncbi,s3	ncbi.public,gs.us-east1,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24242983	USA	North America	USA: Alabama	TG	Mus musculus	Illumina HiSeq X	hSCATG040AM5_3MTH_10082019	PAIRED	RANDOM	METAGENOMIC	hSCATG040	hSCATG040AM5	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG040AM5_3MTH_10082019	SRP501636	1236889	SampsonTR_2025	fac5d763-68f8-440a-81dd-d9c56e3bee8b
SRR28674743	6	WGS	302	271456022	PRJNA1099939	SAMN40961800	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	132367420	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-12-16	public	run.zq,fastq,sra	gs,s3,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24242966	USA	North America	USA: Alabama	TG	Mus musculus	Illumina HiSeq X	hSCATG027AM3_6MTH_12162019	PAIRED	RANDOM	METAGENOMIC	hSCATG027	hSCATG027AM3	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:58:00Z	1	hSCATG027AM3_6MTH_12162019	SRP501636	636665	SampsonTR_2025	d9b28b6a-2ad5-43d1-b0f9-6322751a532a
SRR28674749	1	WGS	302	489653136	PRJNA1099939	SAMN40961774	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	222483069	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-07-15	public	sra,fastq,run.zq	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.us-east1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243089	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG025AM4_1MTH_07152019	PAIRED	RANDOM	METAGENOMIC	hSCATG025	hSCATG025AM4	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG025AM4_1MTH_07152019	SRP501636	1785110	SampsonTR_2025	a73a8f70-f3be-4699-858a-5911480b0022
SRR28674750	12	WGS	302	311954222	PRJNA1099939	SAMN40961773	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	138381492	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2020-06-11	public	sra,fastq,run.zq	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.us-east1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243088	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG025AM4_12MTH_06112020	PAIRED	RANDOM	METAGENOMIC	hSCATG025	hSCATG025AM4	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG025AM4_12MTH_06112020	SRP501636	1267730	SampsonTR_2025	da0343c7-a519-4475-b86e-c0b673604b2c
SRR28674751	6	WGS	302	451571540	PRJNA1099939	SAMN40961772	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	202771703	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-12-16	public	sra,fastq,run.zq	ncbi,gs,s3	s3.us-east-1,ncbi.public,gs.us-east1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243087	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG025AM2_6MTH_12162019	PAIRED	RANDOM	METAGENOMIC	hSCATG025	hSCATG025AM2	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:59:00Z	1	hSCATG025AM2_6MTH_12162019	SRP501636	1655092	SampsonTR_2025	0a47c7ed-97e4-4412-8ecb-fa7c6708f4f9
SRR28674758	3	WGS	302	329159162	PRJNA1099939	SAMN40961759	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	148468293	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-09-03	public	fastq,run.zq,sra	ncbi,gs,s3	s3.us-east-1,ncbi.public,gs.us-east1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243080	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG022AM2_3MTH_09032019	PAIRED	RANDOM	METAGENOMIC	hSCATG022	hSCATG022AM2	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG022AM2_3MTH_09032019	SRP501636	1305063	SampsonTR_2025	f07669c1-47bd-40c5-8287-8c3a33d93d3c
SRR28674761	6	WGS	302	330245758	PRJNA1099939	SAMN40961756	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	150945715	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-12-03	public	sra,fastq,run.zq	gs,s3,ncbi	ncbi.public,s3.us-east-1,gs.us-east1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243077	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG021AM5_6MTH_12032019	PAIRED	RANDOM	METAGENOMIC	hSCATG021	hSCATG021AM5	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:58:00Z	1	hSCATG021AM5_6MTH_12032019	SRP501636	1265290	SampsonTR_2025	96635666-a921-47ac-9263-c375d9485438
SRR28674762	3	WGS	302	387531534	PRJNA1099939	SAMN40961755	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	174169325	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-09-03	public	sra,fastq,run.zq	ncbi,s3,gs	ncbi.public,gs.us-east1,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243076	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG021AM5_3MTH_09032019	PAIRED	RANDOM	METAGENOMIC	hSCATG021	hSCATG021AM5	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:58:00Z	1	hSCATG021AM5_3MTH_09032019	SRP501636	1524391	SampsonTR_2025	57d8cf7c-f837-4be0-8fa1-744087c6ec3f
SRR28674763	1	WGS	302	271032316	PRJNA1099939	SAMN40961754	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	123114741	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-07-05	public	sra,run.zq,fastq	gs,ncbi,s3	ncbi.public,gs.us-east1,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243075	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG021AM5_1MTH_07052019	PAIRED	RANDOM	METAGENOMIC	hSCATG021	hSCATG021AM5	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:58:00Z	1	hSCATG021AM5_1MTH_07052019	SRP501636	1023158	SampsonTR_2025	0784a59a-b722-401d-8de4-f387f991d396
SRR28674764	12	WGS	302	587215142	PRJNA1099939	SAMN40961753	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	248809870	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2020-06-04	public	fastq,sra,run.zq	gs,s3,ncbi	ncbi.public,gs.us-east1,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243074	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG021AM5_12MTH_06042020	PAIRED	RANDOM	METAGENOMIC	hSCATG021	hSCATG021AM5	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:58:00Z	1	hSCATG021AM5_12MTH_06042020	SRP501636	2486362	SampsonTR_2025	12f2f265-4892-42fc-8461-f59516850cf6
